Wall time,Step,Value
1551771514.6661212,5,20.83333396911621
1551771567.3991783,234,14.095745086669922
1551771869.7041051,1479,21.484375
1551771911.3389165,1639,23.839284896850586
1551771917.5620298,1665,24.24698829650879
1551771935.045803,1738,23.48326301574707
1551772027.5938618,2110,23.423423767089844
1551772058.2795014,2238,23.32636070251465
1551772064.0507557,2262,23.57414436340332
1551772068.8452284,2282,23.32155418395996
1551772070.2841315,2288,23.399654388427734
1551772114.4587939,2472,22.568710327148438
1551772145.2020118,2587,22.727272033691406
1551772205.2212512,2837,23.668638229370117
1551772289.376281,3174,23.214284896850586
1551772335.9406958,3368,23.848237991333008
1551772343.8534462,3401,24.222637176513672
1551772378.6161418,3532,29.16666603088379
1551772386.2804115,3564,28.653846740722656
1551772570.786516,4319,24.9609375
1551772673.9598475,4735,28.17796516418457
1551772839.3102734,5410,26.55109405517578
1551772903.1026237,5662,28.29754638671875
1551772913.1629562,5704,28.109756469726562
1551772951.1062016,5862,28.202478408813477
1551773030.698078,6180,26.726518630981445
1551773146.9582596,6651,28.700658798217773
1551773157.7825794,6696,29.63197898864746
1551773262.6439614,7119,30.52083396911621
1551773422.2973235,7770,31.27306365966797
1551773682.6775973,8827,34.26066970825195
1551773686.5200336,8843,34.08430099487305
1551773712.0000753,8949,33.44444274902344
1551773715.3609076,8963,33.51293182373047
1551773793.4856386,9275,31.567028045654297
1551774071.5175605,10406,32.80098342895508
1551774112.7772477,10564,34.80769348144531
1551774307.3329802,11360,36.114959716796875
1551774429.4866872,11855,35.46348190307617
1551774451.124345,11945,35.73430633544922
1551774473.4226859,12024,41.0
1551774483.0253053,12064,37.5
1551774496.472388,12120,36.673553466796875
1551774536.3239768,12286,36.80313491821289
1551774603.708597,12553,40.046295166015625
1551774628.2252674,12655,39.262821197509766
1551774671.715284,12836,38.64985275268555
1551774685.4197235,12893,38.03934097290039
1551774924.15492,13859,39.65277862548828
1551775121.0769942,14652,41.993465423583984
1551775160.2462406,14815,42.167720794677734
1551775185.216796,14919,42.44047546386719
1551775191.9427695,14947,42.35491180419922
1551775194.8432283,14959,42.364131927490234
1551775221.644601,15057,43.965518951416016
1551775354.3392746,15596,46.391754150390625
1551775401.3982763,15792,44.795223236083984
1551775694.710115,16987,46.38832092285156
1551775720.6419106,17081,47.56097412109375
1551775819.3479245,17492,47.109535217285156
1551775828.1394758,17515,50.78125
1551775881.4174962,17737,46.63865661621094
1551775885.2551887,17753,46.99803161621094
1551775957.2292428,18039,47.1875
1551775966.6084757,18078,45.41139221191406
1551775991.1168427,18180,47.099449157714844
1551776198.6304443,19017,45.13888931274414
1551776276.4691103,19341,49.96345138549805
1551776288.0023553,19389,49.42307662963867
1551776471.0954247,20123,52.31855010986328
1551776497.5500154,20233,51.81623840332031
1551776734.3280091,21191,52.66926956176758
1551776791.54972,21429,52.61627960205078
1551776961.5432591,22109,53.75
1551777033.186929,22407,54.6875
1551777042.3341844,22445,54.90470886230469
1551777245.3801723,23263,57.102272033691406
1551777364.160649,23744,56.32653045654297
1551777461.2324212,24135,54.77941131591797
1551777592.4963129,24668,56.87869644165039
1551777777.7111652,25426,57.259952545166016
1551777841.316684,25677,58.005619049072266
1551777857.6564653,25745,58.587398529052734
